City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Saint-Joseph,RE,2022-05-14 08:24:48,-21.3667,55.6167,79.18,64,17,9.31
190,Nanortalik,GL,2022-05-14 08:24:48,60.1432,-45.2371,29.23,90,89,7.38
191,Carnarvon,AU,2022-05-14 08:24:49,-24.8667,113.6333,71.98,36,0,18.03
192,Takoradi,GH,2022-05-14 08:24:49,4.8845,-1.7554,81.21,80,100,2.59
193,Narsaq,GL,2022-05-14 08:24:49,60.9167,-46.05,30.42,89,98,1.81
194,Mazagao,BR,2022-05-14 08:24:50,-0.115,-51.2894,78.85,98,100,2.62
195,Longyearbyen,SJ,2022-05-14 08:24:50,78.2186,15.6401,24.64,74,75,8.05
196,Leninsk-Kuznetskiy,RU,2022-05-14 08:24:51,54.6567,86.1737,81.54,18,41,7.72
197,Bandarbeyla,SO,2022-05-14 08:24:51,9.4942,50.8122,96.1,37,84,4.54
198,Santa Maria,BR,2022-05-14 08:22:46,-29.6842,-53.8069,53.1,94,99,4.07
199,Miri,MY,2022-05-14 08:24:52,4.4148,114.0089,89.74,79,40,6.91
200,Grindavik,IS,2022-05-14 08:24:52,63.8424,-22.4338,39.67,70,0,8.05
201,Colesberg,ZA,2022-05-14 08:24:52,-30.72,25.0972,57.42,24,11,2.55
202,Kahului,US,2022-05-14 08:22:54,20.8947,-156.47,75.85,72,0,21.99
203,Denizli,TR,2022-05-14 08:20:59,37.8402,29.0698,72.73,39,0,0.69
204,Majene,ID,2022-05-14 08:24:53,-3.5403,118.9707,84.43,77,85,4.99
205,Ilulissat,GL,2022-05-14 08:24:53,69.2167,-51.1,21.22,86,100,0.0
206,General Roca,AR,2022-05-14 08:24:54,-39.0333,-67.5833,43.63,47,1,3.8
207,Erenhot,CN,2022-05-14 08:24:54,43.6475,111.9767,62.22,14,100,11.72
208,Saint-Pierre,RE,2022-05-14 08:24:55,-21.3393,55.4781,80.28,57,0,17.27
209,Clyde River,CA,2022-05-14 08:24:55,70.4692,-68.5914,19.63,86,100,16.11
210,Norman Wells,CA,2022-05-14 08:24:55,65.282,-126.8329,39.24,60,40,9.22
211,Kondinskoye,RU,2022-05-14 08:24:56,59.6481,67.41,51.96,82,100,11.32
212,Dhidhdhoo,MV,2022-05-14 08:24:56,6.8833,73.1,81.68,82,100,26.13
213,Artesia,US,2022-05-14 08:24:57,33.8658,-118.0831,75.47,72,0,6.91
214,Abu Samrah,SY,2022-05-14 08:24:57,35.3029,37.1841,84.74,16,28,3.27
215,Shepsi,RU,2022-05-14 08:24:57,44.0361,39.1489,63.39,53,0,3.76
216,Khatanga,RU,2022-05-14 08:24:19,71.9667,102.5,32.23,100,100,6.62
217,Ust-Karsk,RU,2022-05-14 08:24:58,52.7011,118.8077,63.43,29,100,12.1
218,Mecca,SA,2022-05-14 08:20:42,21.4267,39.8261,108.39,6,0,8.34
219,East London,ZA,2022-05-14 08:24:58,-33.0153,27.9116,68.94,56,0,13.8
220,Clacton-On-Sea,GB,2022-05-14 08:24:02,51.7897,1.156,61.09,80,90,4.59
221,Kouroussa,GN,2022-05-14 08:24:59,10.65,-9.8833,82.54,60,56,5.95
222,Grand Gaube,MU,2022-05-14 08:25:00,-20.0064,57.6608,81.37,57,20,5.99
223,Rodrigues Alves,BR,2022-05-14 08:25:00,-7.738,-72.6509,70.66,99,32,0.83
224,Rawson,AR,2022-05-14 08:25:01,-43.3002,-65.1023,48.42,56,14,17.43
225,Chama,CH,2022-05-14 08:25:01,47.1821,8.4636,69.78,74,41,2.3
226,Port Moresby,PG,2022-05-14 08:25:02,-9.4431,147.1797,81.82,78,20,6.91
227,Maceio,BR,2022-05-14 08:24:36,-9.6658,-35.7353,74.64,94,75,3.44
228,Alekseyevsk,RU,2022-05-14 08:25:02,57.8406,108.3492,68.09,28,97,3.51
229,Bambous Virieux,MU,2022-05-14 08:25:03,-20.3428,57.7575,81.21,57,40,6.91
230,Ajdabiya,LY,2022-05-14 08:25:03,30.7554,20.2263,71.67,45,3,12.64
231,Bardiyah,LY,2022-05-14 08:25:03,31.7561,25.0865,70.03,50,0,10.27
232,Saint George,US,2022-05-14 08:25:04,37.1041,-113.5841,63.19,21,0,1.01
233,Urusha,RU,2022-05-14 08:25:04,54.05,122.9,52.92,29,100,12.62
234,Rio Gallegos,AR,2022-05-14 08:25:05,-51.6226,-69.2181,32.05,93,0,9.22
235,Harper,LR,2022-05-14 08:25:05,4.375,-7.7169,81.19,84,85,6.2
236,Talnakh,RU,2022-05-14 08:25:06,69.4865,88.3972,36.88,100,100,5.95
237,Kendari,ID,2022-05-14 08:25:06,-3.945,122.4989,82.44,81,99,4.99
238,Salinopolis,BR,2022-05-14 08:25:07,-0.6136,-47.3561,78.3,88,86,10.6
239,Sabang,ID,2022-05-14 08:25:07,5.8933,95.3214,84.33,73,100,6.49
240,Honjo,JP,2022-05-14 08:25:07,36.2333,139.1833,75.43,57,100,12.84
241,Jiblah,YE,2022-05-14 08:25:08,13.9216,44.1467,79.14,12,6,7.58
242,Mendota,US,2022-05-14 08:25:08,36.7536,-120.3816,64.67,58,0,7.65
243,New Plymouth,NZ,2022-05-14 08:25:09,-39.0667,174.0833,62.56,83,100,13.11
244,Naryan-Mar,RU,2022-05-14 08:25:09,67.6713,53.087,57.43,65,46,8.03
245,Emba,KZ,2022-05-14 08:25:09,48.8264,58.1442,69.87,38,29,18.75
246,Ahipara,NZ,2022-05-14 08:25:10,-35.1667,173.1667,58.19,74,100,6.91
247,Biak,ID,2022-05-14 08:25:10,-0.9131,122.8766,78.93,85,88,3.38
248,Kholtoson,RU,2022-05-14 08:25:11,50.2981,103.3097,64.04,15,56,4.09
249,Severomorsk,RU,2022-05-14 08:21:17,69.0689,33.4162,52.2,65,9,1.88
250,Kovdor,RU,2022-05-14 08:25:11,67.5662,30.4758,52.48,55,59,3.65
251,Anadyr,RU,2022-05-14 08:25:12,64.75,177.4833,32.5,93,20,11.18
