City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,San Policarpo,PH,12.1791,125.5072,84.22,73,98,10.42,moderate rain
256,Kysyl-Syr,RU,63.8986,122.7617,37.11,48,16,7.05,few clouds
257,Ulaanbaatar,MN,47.9077,106.8832,53.73,24,0,2.24,clear sky
258,Okhotsk,RU,59.3833,143.3,37.09,95,100,28.95,moderate rain
259,Swellendam,ZA,-34.0226,20.4417,52.68,76,0,3.49,clear sky
260,Vestmannaeyjar,IS,63.4427,-20.2734,46.8,91,100,21.09,light rain
261,Poso,ID,-1.3959,120.7524,86.04,65,100,3.18,overcast clouds
262,Kamloops,CA,50.6665,-120.3192,56.39,69,75,26.46,broken clouds
263,Neyvo-Shaytanskiy,RU,57.7286,61.2496,51.57,72,58,9.24,broken clouds
264,Akdagmadeni,TR,39.6603,35.8836,52.03,63,89,1.9,overcast clouds
265,Raudeberg,NO,61.9875,5.1352,44.87,92,99,7.81,overcast clouds
266,Naze,JP,28.3667,129.4833,67.12,78,100,17.87,light rain
267,Vanimo,PG,-2.6741,141.3028,85.62,68,95,6.2,overcast clouds
268,Fairhope,US,30.523,-87.9033,77.68,91,0,0.0,clear sky
269,Koungou,YT,-12.7336,45.2042,78.51,83,40,9.22,scattered clouds
270,Scarborough,GB,54.2797,-0.4044,53.33,88,57,6.8,broken clouds
271,Aksarka,RU,66.5606,67.7975,45.79,91,100,5.3,overcast clouds
272,Malmesbury,ZA,-33.4608,18.7271,52.77,81,0,4.41,clear sky
273,Kavieng,PG,-2.5744,150.7967,84.96,63,44,5.1,scattered clouds
274,Mackay,AU,-21.15,149.2,86.68,75,0,6.67,clear sky
275,Qaanaaq,GL,77.484,-69.3632,14.27,67,48,6.71,scattered clouds
276,Champerico,GT,14.3,-91.9167,84.49,71,13,6.13,few clouds
277,Isangel,VU,-19.55,169.2667,78.12,61,69,12.57,broken clouds
278,Kaseda,JP,31.4167,130.3167,65.3,61,100,11.01,light rain
279,Vao,NC,-22.6667,167.4833,73.71,70,33,15.32,scattered clouds
280,Amapa,BR,1.0,-52.0,72.72,99,100,2.15,overcast clouds
281,Sao Filipe,CV,14.8961,-24.4956,75.99,68,71,7.54,broken clouds
282,Mount Gambier,AU,-37.8333,140.7667,60.71,88,100,17.27,overcast clouds
283,Medicine Hat,CA,50.0501,-110.6683,59.99,31,20,10.36,few clouds
284,La Palma,US,33.8464,-118.0467,93.81,32,0,10.36,clear sky
285,Merrill,US,45.1805,-89.6835,67.77,75,40,4.61,scattered clouds
286,Yaring,TH,6.8662,101.3689,83.28,69,74,4.43,broken clouds
287,Elk Point,US,42.6833,-96.6836,65.08,52,100,2.39,overcast clouds
288,Beringovskiy,RU,63.05,179.3167,43.54,76,100,9.24,overcast clouds
289,Dingle,PH,10.9995,122.6711,88.12,61,38,5.35,scattered clouds
290,Mitsamiouli,KM,-11.3847,43.2844,79.61,72,0,5.44,clear sky
291,Avanigadda,IN,16.0215,80.9181,90.84,60,60,7.76,broken clouds
292,Pulandian,CN,39.3953,121.9669,68.61,27,4,12.86,clear sky
293,Matagami,CA,49.7502,-77.6328,68.11,64,0,2.3,clear sky
294,Vnanje Gorice,SI,46.0072,14.4219,61.79,92,5,0.51,clear sky
295,Irbeyskoye,RU,55.6428,95.4522,73.99,25,86,6.87,overcast clouds
296,Ribeira Grande,PT,38.5167,-28.7,60.24,64,79,27.78,broken clouds
297,Bubaque,GW,11.2833,-15.8333,78.4,81,11,10.67,few clouds
298,Ancud,CL,-41.8697,-73.8203,44.82,83,0,5.61,clear sky
299,Iwanai,JP,42.9744,140.5089,57.67,59,7,11.25,light rain
300,Kloulklubed,PW,7.0419,134.2556,81.1,76,12,7.9,few clouds
301,Matay,EG,28.419,30.7792,67.14,48,27,14.74,scattered clouds
302,Rudolfov,CZ,48.9934,14.5418,47.61,83,7,1.01,clear sky
303,Itarema,BR,-2.9248,-39.9167,77.95,90,56,10.63,broken clouds
304,Pimentel,PE,-6.8367,-79.9342,64.44,84,93,11.74,overcast clouds
305,Geraldton,AU,-28.7667,114.6,66.61,68,100,6.91,overcast clouds
306,Arlit,NE,18.7369,7.3853,82.18,16,1,9.4,clear sky
307,Danville,US,36.586,-79.395,65.34,94,0,0.0,clear sky
308,Gwadar,PK,25.1216,62.3254,83.55,66,0,5.28,clear sky
309,Siauliai,LT,55.9333,23.3167,44.62,93,75,11.5,broken clouds
310,Ouallam,NE,14.3188,2.0866,93.38,29,100,13.87,overcast clouds
311,Ayr,GB,55.4627,-4.6339,46.38,87,63,0.0,broken clouds
312,Shieli,KZ,44.1667,66.75,70.34,41,2,6.33,clear sky
313,Ostrovnoy,RU,68.0531,39.5131,38.61,75,61,5.3,broken clouds
314,Santa Rosa,PH,14.3122,121.1114,90.09,69,63,3.91,broken clouds
315,North Bend,US,43.4065,-124.2243,60.71,91,100,13.8,overcast clouds
316,Benguela,AO,-12.5763,13.4055,72.63,85,0,2.55,clear sky
317,Bilibino,RU,68.0546,166.4372,34.43,100,100,7.23,snow
318,Lompoc,US,34.6391,-120.4579,75.78,75,0,10.36,clear sky
319,Loreto,MX,22.2667,-101.9667,71.65,33,88,19.04,overcast clouds
